Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Age_of_car,Avg_kms_per_yr
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,Manual,First,19.0,1582,126.0,5.0,12.5,9,20.34739454094293
2,Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,13.0,1199,88.0,5.0,4.5,13,22.874191944306315
3,Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.0,1248,88.0,7.0,6.0,12,43.240556660039765
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Diesel,Automatic,Second,15.0,1968,140.0,5.0,17.74,11,20.20367610531545
6,Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,Manual,First,23.0,1461,63.0,5.0,3.5,11,43.21857923497268
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,11.0,2755,171.0,8.0,17.5,8,17.857142857142858
8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,First,20.0,1598,103.0,5.0,5.2,11,32.00695479384004
9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,Manual,Second,22.0,1248,74.0,5.0,1.95,12,32.76938369781312
10,Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.0,1462,103.0,5.0,9.95,6,12.731417244796829
11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,Petrol,Automatic,First,16.0,1497,116.0,5.0,4.49,12,29.821073558648113
12,Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,First,25.0,1248,74.0,5.0,5.6,9,31.972208436724564
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,Automatic,First,12.0,2179,187.0,5.0,27.0,10,35.749751737835155
14,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Diesel,Automatic,Second,0.0,2179,115.0,5.0,17.5,12,42.24652087475149
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,13.0,2477,175.0,7.0,15.0,10,54.61767626613704
16,Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,25.0,1498,98.0,5.0,5.4,8,29.241071428571427
17,Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,First,28.0,1248,74.0,5.0,5.99,7,12.394645513138324
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,Diesel,Manual,First,20.0,1461,83.0,5.0,6.34,10,38.46524329692155
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,Automatic,First,14.0,2143,167.0,5.0,28.0,10,38.97715988083416
20,BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.0,1995,190.0,5.0,18.55,10,16.376365441906653
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,Second,23.0,1248,88.0,5.0,8.25,9,27.48982630272953
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,First,13.0,1984,177.0,5.0,23.5,9,27.78411910669975
23,Hyundai i20 1.2 Magna,Kolkata,2010,45807,Petrol,Manual,First,18.0,1197,80.0,5.0,1.87,14,22.78955223880597
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Petrol,Automatic,First,14.0,1598,103.0,5.0,2.85,14,16.417910447761194
25,Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,16.0,1497,116.0,5.0,4.25,12,25.805168986083498
26,Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,First,16.0,1461,63.0,5.0,4.25,12,26.8389662027833
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,Second,20.0,998,67.0,5.0,2.75,11,26.825633383010434
28,Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,17.0,1199,88.0,5.0,9.9,6,18.54806739345887
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.0,2494,102.0,7.0,4.0,17,130.54309915296463
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,First,19.0,1461,108.0,5.0,7.75,11,30.79980129160457
31,Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,14.0,1798,138.0,5.0,6.75,12,43.54622266401591
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,11.0,2696,184.0,7.0,12.5,11,35.767511177347245
33,Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,12.0,2698,179.0,5.0,11.5,14,17.412935323383085
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.0,1598,103.0,5.0,6.98,10,27.52284011916584
35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061,64.0,5.0,1.85,15,41.72025883524142
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,24.0,1248,88.0,5.0,8.63,6,24.814172447968286
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,First,18.0,1198,82.0,5.0,4.85,7,25.780862667327714
